fips,resistance,recovery,resilience
13081,0.277512,0.709071,0.902082
13083,0.344941,0.657139,0.904522
13085,0.424386,0.644592,0.914833
13087,0.287162,0.73756,0.908031
13089,0.449792,0.740128,0.929947
13091,0.254401,0.712179,0.899143
13093,0.237549,0.679323,0.891528
13095,0.329071,0.769628,0.91826
13097,0.481063,0.622128,0.919973
13099,0.295489,0.77229,0.914019
13101,0.217463,0.490661,0.84067
13103,0.381822,0.622938,0.903765
13105,0.293619,0.719696,0.906407
13107,0.277584,0.740257,0.907196
13109,0.233854,0.689945,0.893169
13111,0.331808,0.709548,0.910845
13113,0.45573,0.701899,0.926927
13115,0.339085,0.703354,0.909884
13117,0.551382,0.581573,0.92625
13119,0.289922,0.707075,0.904009
13121,0.436215,0.825254,0.937097
13123,0.32892,0.657309,0.901058
13125,0.262121,0.696927,0.89707
13127,0.378548,0.759849,0.922896
13129,0.321073,0.627491,0.895429
13131,0.250506,0.652893,0.888267
13133,0.336415,0.722153,0.912905
13135,0.524102,0.573066,0.920668
13137,0.329693,0.699556,0.908986
13139,0.417275,0.702813,0.921215
13141,0.230098,0.718783,0.896577
13143,0.25964,0.681553,0.894923
13145,0.381787,0.652069,0.908454
13147,0.265121,0.668814,0.893863
13149,0.253945,0.615303,0.881869
13151,0.552643,0.643227,0.933967
13153,0.419869,0.808028,0.933253
13155,0.263338,0.696648,0.898752
13157,0.347756,0.662718,0.904782
13159,0.31868,0.628408,0.894252
13161,0.301854,0.660401,0.89746
13163,0.278613,0.747822,0.907961
13165,0.238273,0.737972,0.901497
13167,0.249061,0.70073,0.896798
13169,0.261242,0.558233,0.869723
13171,0.281587,0.70587,0.902754
13173,0.276373,0.627504,0.887791
13175,0.269716,0.724494,0.903838
13177,0.330651,0.615712,0.893863
13179,0.387799,0.715253,0.918636
13181,0.271933,0.712887,0.902326
13183,0.288733,0.534097,0.867962
13185,0.333559,0.737729,0.91458
13187,0.355837,0.651915,0.90483
13189,0.26626,0.701,0.899192
13191,0.309392,0.664985,0.89996
13193,0.251309,0.727496,0.901849
13195,0.330836,0.671142,0.903572
13197,0.209528,0.634325,0.877948
13199,0.255937,0.690077,0.896624
13201,0.300363,0.743723,0.910385
13205,0.22771,0.71007,0.895805
13207,0.306166,0.624676,0.891381
13209,0.274649,0.684938,0.897202
13211,0.362598,0.669044,0.908853
13213,0.23584,0.57502,0.868
13215,0.364423,0.833566,0.929351
13217,0.399176,0.640458,0.909401
13219,0.452337,0.606111,0.913027
13221,0.247808,0.579314,0.872134
13223,0.557052,0.545657,0.921004
13225,0.341799,0.752081,0.916622
13227,0.382659,0.660381,0.910524
13229,0.288144,0.683494,0.900221
13231,0.372036,0.814967,0.927675
13233,0.33705,0.714385,0.911486
13235,0.222679,0.695075,0.89114
13237,0.294009,0.667042,0.898229
13239,0.262882,0.714224,0.901147
13241,0.342442,0.716574,0.913363
13243,0.263367,0.7476,0.906544
13245,0.351247,0.771663,0.92122
13247,0.466706,0.644911,0.921157
13249,0.241124,0.635828,0.884146
13251,0.245111,0.700944,0.89669
13253,0.287352,0.756657,0.910997
13255,0.274068,0.695799,0.900066
13257,0.27844,0.719915,0.904921
13259,0.236241,0.731605,0.899513
13261,0.275734,0.761938,0.910235
13263,0.244858,0.706576,0.897231
13265,0.271995,0.749564,0.907548
13267,0.242005,0.666049,0.889598
13269,0.235252,0.734674,0.900238
13271,0.231379,0.71811,0.896985
13273,0.279906,0.749992,0.909154
13275,0.290774,0.72784,0.906904
13277,0.290343,0.711662,0.904922
13279,0.249359,0.700936,0.897543
13281,0.383018,0.750833,0.922319
13283,0.246775,0.691802,0.895303
13285,0.300774,0.686233,0.90249
13287,0.275528,0.758278,0.909777
13289,0.265668,0.700071,0.89788
13291,0.327087,0.704442,0.909124
13293,0.285573,0.705431,0.903195
13295,0.298714,0.681241,0.90155
13297,0.369267,0.658386,0.908412
13299,0.278296,0.742465,0.907441
13301,0.256549,0.740909,0.90482
13303,0.261624,0.70392,0.899599
13305,0.255816,0.70154,0.897693
13307,0.236484,0.647048,0.884785
13309,0.190911,0.680667,0.884271
13311,0.336825,0.630173,0.898457
13313,0.314822,0.624557,0.893596
13315,0.253368,0.703526,0.898006
13317,0.282857,0.778392,0.912428
13319,0.289786,0.709082,0.903783
13321,0.275089,0.670058,0.895721
15001,0.425229,0.689573,0.92021
15003,0.513076,0.828125,0.945863
15005,0.321597,0.753414,0.913785
15007,0.38655,0.732723,0.920144
15009,0.449149,0.648776,0.919137
16001,0.445425,0.749693,0.930044
16003,0.290886,0.691443,0.900782
16005,0.327237,0.72342,0.911929
16007,0.326673,0.691927,0.907123
16009,0.296116,0.761293,0.911887
16011,0.299689,0.68357,0.901655
16013,0.406078,0.578557,0.900402
16015,0.293273,0.673172,0.897999
16017,0.337954,0.687966,0.906877
16019,0.419749,0.80995,0.933545
16021,0.344008,0.72198,0.913569
16023,0.321451,0.766812,0.916204
16025,0.350821,0.670903,0.906798
16027,0.361742,0.656625,0.906606
16029,0.320251,0.678032,0.903937
16031,0.320743,0.662701,0.900495
16033,0.297232,0.660964,0.896739
16035,0.343086,0.76215,0.918493
16037,0.315136,0.748726,0.912571
16039,0.418479,0.798226,0.93192
16041,0.343176,0.631142,0.899499
16043,0.312884,0.663229,0.900194
16045,0.349817,0.704078,0.912079
16047,0.335267,0.680217,0.906064
16049,0.319553,0.731606,0.911402
16051,0.373819,0.639112,0.904821
16053,0.342156,0.702004,0.910086
16055,0.420282,0.763227,0.928991
16057,0.355706,0.739745,0.917301
16059,0.282665,0.741165,0.907983
16061,0.352928,0.811468,0.925526
16063,0.265043,0.632505,0.886087
16065,0.327206,0.587297,0.888239
16067,0.28078,0.662094,0.895084
16069,0.303084,0.745182,0.910676
16071,0.343374,0.681985,0.907054
16073,0.229391,0.65211,0.884667
16075,0.305705,0.682733,0.902452
16077,0.376998,0.702302,0.915624
16079,0.279837,0.735034,0.90646
16081,0.387908,0.597777,0.899783
16083,0.382109,0.703033,0.916598
16085,0.386646,0.725701,0.919026
16087,0.285978,0.711227,0.903605
17001,0.306259,0.717392,0.907609
17003,0.250791,0.765971,0.906886
17005,0.27381,0.724444,0.904716
17007,0.344202,0.57344,0.88864
17009,0.26492,0.599831,0.880467
17011,0.312979,0.678609,0.903161
17013,0.361572,0.774892,0.922738
17015,0.295991,0.71698,0.90581
17017,0.25204,0.664929,0.89203
17019,0.356916,0.715119,0.914738
17021,0.285084,0.689849,0.90036
17023,0.309079,0.68552,0.903896
17025,0.273892,0.705035,0.901738
17027,0.297322,0.661431,0.898137
17029,0.297438,0.698272,0.903172
17031,0.322691,0.743896,0.914529
17033,0.284286,0.685096,0.899619
17035,0.280697,0.643709,0.892
17037,0.33922,0.671189,0.905117
17039,0.32361,0.672719,0.902711
17041,0.353328,0.637079,0.903263
17043,0.467857,0.746411,0.933065
17045,0.29714,0.687535,0.902194
17047,0.290579,0.673545,0.899304
17049,0.388328,0.682189,0.914982
17051,0.255167,0.668396,0.892879
17053,0.317783,0.682076,0.90475
17055,0.312965,0.721219,0.909687
17057,0.284323,0.689284,0.899584
17059,0.290787,0.769178,0.91292
17061,0.291207,0.71971,0.906103
17063,0.365782,0.616263,0.900243
17065,0.286169,0.725743,0.906447
17067,0.298539,0.693076,0.903232
17069,0.23762,0.729169,0.899068
17071,0.303527,0.685079,0.90251
17073,0.35106,0.677154,0.907511
17075,0.320066,0.685797,0.905348
17077,0.27399,0.713763,0.903201
17079,0.335386,0.675815,0.905454
17081,0.267469,0.705073,0.900136
17083,0.369543,0.655271,0.907864
17085,0.366353,0.680959,0.911244
17087,0.26411,0.67872,0.895027
17089,0.36943,0.656065,0.908365
17091,0.304792,0.684276,0.902862
17093,0.654209,0.659842,0.950118
17095,0.259701,0.689659,0.896552
17097,0.360734,0.682898,0.910734
17099,0.304399,0.668744,0.899996
17101,0.254889,0.689821,0.89597
17103,0.34373,0.667523,0.905067
17105,0.2946,0.647928,0.895299
17107,0.265107,0.672562,0.894516
17109,0.294076,0.675218,0.899605
17111,0.45742,0.617898,0.91589
17113,0.363036,0.647588,0.905864
17115,0.298341,0.723369,0.907448
17117,0.313293,0.69899,0.906503
17119,0.328211,0.720688,0.911486
17121,0.28137,0.736381,0.907276
17123,0.323671,0.672988,0.903243
17125,0.286587,0.719938,0.904705
17127,0.29066,0.712423,0.905091
17129,0.364896,0.670087,0.909714
17131,0.333227,0.687254,0.907136
17133,0.479856,0.669961,0.926318
17135,0.293298,0.699616,0.902597
17137,0.289238,0.696165,0.901582
17139,0.305734,0.685191,0.903343
17141,0.38399,0.632207,0.906034
17143,0.298403,0.726183,0.907998
17145,0.288464,0.687359,0.900783
17147,0.364484,0.672497,0.909589
17149,0.277039,0.708372,0.901998
17151,0.295531,0.708126,0.904362
17153,0.288742,0.8675,0.923978
17155,0.321474,0.654297,0.899593
17157,0.269343,0.683816,0.896863
17159,0.267822,0.695377,0.899453
17161,0.323918,0.754297,0.914866
17163,0.314128,0.776341,0.916595
17165,0.280014,0.754811,0.909864
17167,0.397519,0.833156,0.93311
17169,0.312184,0.669019,0.90161
17171,0.266052,0.688608,0.897262
17173,0.308663,0.693811,0.904592
17175,0.319444,0.701587,0.907543
17177,0.314805,0.691402,0.905798
17179,0.30632,0.653171,0.897932
17181,0.259704,0.702114,0.899363
17183,0.288207,0.712174,0.904563
17185,0.289824,0.677457,0.899901
17187,0.322561,0.702842,0.90832
17189,0.372191,0.715452,0.916855
17191,0.297047,0.705032,0.904423
17193,0.279116,0.740516,0.907679
17195,0.375034,0.699073,0.91506
17197,0.403838,0.597977,0.90388
17199,0.340317,0.737901,0.915522
17201,0.322139,0.676923,0.904358
17203,0.349269,0.598395,0.895103
18001,0.369845,0.663641,0.909808
18003,0.379297,0.735978,0.920271
18005,0.373159,0.734062,0.919046
18007,0.318961,0.67781,0.904121
18009,0.332501,0.711736,0.909992
18011,0.373568,0.626487,0.903706
18013,0.297644,0.554698,0.875102
18015,0.354388,0.644675,0.903958
18017,0.31782,0.67798,0.90344
18019,0.37545,0.72975,0.918718
18021,0.285999,0.710719,0.903659
18023,0.301577,0.660175,0.898438
18025,0.276372,0.697139,0.899934
18027,0.366642,0.67393,0.909989
18029,0.375663,0.66666,0.910681
18031,0.323452,0.655987,0.900072
18033,0.344545,0.643652,0.902328
18035,0.30888,0.716389,0.908139
18037,0.373713,0.663946,0.910208
18039,0.321444,0.606736,0.8921
18041,0.289084,0.707904,0.904232
18043,0.386871,0.71804,0.91936
18045,0.29713,0.689195,0.902355
18047,0.32062,0.612389,0.89247
18049,0.292608,0.654744,0.895634
18051,0.326961,0.683946,0.905708
18053,0.336715,0.745289,0.916112
18055,0.264411,0.702697,0.898952
18057,0.564492,0.602345,0.931139
18059,0.432417,0.648118,0.91628
18061,0.285776,0.648889,0.893748
18063,0.492101,0.644508,0.924089
18065,0.313556,0.68574,0.903925
18067,0.325119,0.717315,0.910821
18069,0.364249,0.67048,0.909681
18071,0.345103,0.675305,0.907498
18073,0.3743,0.677203,0.91192
18075,0.336703,0.678573,0.906447
18077,0.290513,0.706358,0.903713
18079,0.275404,0.657863,0.89357
18081,0.429692,0.673522,0.91911
18083,0.298095,0.733223,0.909023
18085,0.320055,0.630275,0.895437
18087,0.323517,0.522275,0.873411
18089,0.323578,0.716703,0.910505
18091,0.27278,0.672633,0.895072
18093,0.296647,0.697933,0.903814
18095,0.303577,0.727279,0.908586
18097,0.362368,0.789477,0.924664
18099,0.306717,0.628737,0.892727
18101,0.347545,0.873144,0.930891
18103,0.263916,0.708125,0.899854
18105,0.369353,0.747222,0.919922
18107,0.312039,0.677599,0.902694
18109,0.358499,0.664441,0.907583
18111,0.320005,0.64329,0.896694
18113,0.301283,0.607337,0.887543
18115,0.406201,0.642218,0.910663
18117,0.269189,0.679305,0.896506
18119,0.292101,0.633157,0.890508
18121,0.273554,0.657431,0.893336
18123,0.256112,0.672348,0.893127
18125,0.28798,0.679268,0.899223
18127,0.353132,0.663128,0.906416
18129,0.305789,0.658005,0.898102
18131,0.276723,0.691335,0.89958
18133,0.298962,0.644849,0.895118
