fips,resistance,recovery,resilience
12099,0.294024,0.653808,0.894912
12101,0.307664,0.665534,0.899371
12103,0.289916,0.675678,0.897337
12105,0.271955,0.653582,0.891326
12107,0.274975,0.713396,0.902449
12109,0.33428,0.667702,0.904283
12111,0.302643,0.66614,0.89867
12113,0.336849,0.689151,0.908013
12115,0.280783,0.665835,0.895234
12117,0.337009,0.622455,0.895317
12119,0.274166,0.664315,0.894116
12121,0.25133,0.698996,0.897558
12123,0.24138,0.711034,0.89794
12125,0.22881,0.572866,0.866471
12127,0.266384,0.661419,0.892578
12129,0.305618,0.688396,0.903435
12131,0.300756,0.708496,0.905108
12133,0.25893,0.742971,0.905147
13001,0.23991,0.694378,0.895376
13003,0.25504,0.69312,0.897248
13005,0.229982,0.690162,0.892569
13007,0.212194,0.625053,0.87787
13009,0.228753,0.698623,0.893695
13011,0.26367,0.636169,0.888122
13013,0.364976,0.66046,0.907471
13015,0.292688,0.633315,0.891954
13017,0.222944,0.700225,0.893231
13019,0.265916,0.705624,0.900863
13021,0.263495,0.684165,0.896547
13023,0.200494,0.629345,0.876056
13025,0.27736,0.698191,0.900103
13027,0.272418,0.708039,0.901763
13029,0.367708,0.796058,0.925619
13031,0.253653,0.68576,0.895299
13033,0.252864,0.703601,0.898815
13035,0.301561,0.701834,0.905453
13037,0.210856,0.667734,0.886038
13039,0.363907,0.741815,0.918817
13043,0.254865,0.702681,0.898863
13045,0.271951,0.661319,0.893142
13047,0.290893,0.631424,0.891068
13049,0.253779,0.748303,0.904623
13051,0.296005,0.704896,0.903547
13053,0.38363,0.734671,0.920105
13055,0.252864,0.676836,0.893839
13057,0.356715,0.614232,0.898814
13059,0.263331,0.704166,0.899257
13061,0.255712,0.776415,0.909227
13063,0.289207,0.624295,0.889207
13065,0.248302,0.723289,0.900728
13067,0.345815,0.674982,0.906627
13069,0.240301,0.657793,0.888545
13071,0.261646,0.701194,0.899478
13073,0.411531,0.720431,0.92251
13075,0.279062,0.712966,0.903412
13077,0.347125,0.646852,0.902306
13079,0.239376,0.645764,0.885302
13081,0.233024,0.684917,0.892051
13083,0.269183,0.670481,0.894661
13085,0.275868,0.649946,0.892143
13087,0.268496,0.737089,0.906155
13089,0.292252,0.671464,0.897474
13091,0.267452,0.736365,0.905705
13093,0.216748,0.612465,0.875312
13095,0.26869,0.719075,0.903152
13097,0.338868,0.624147,0.896915
